                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.76385,                 4.5539,                0.44494,                0.84554,                  1.099,                0.80186,                0.79409,                0.86661,                0.71753,                0.61512,                0.56729,                0.51821,                0.13266,                0.71265,                 4.7521,                0.39274,                0.75916,                 1.0613,              0.0003466,              0.0003466,              0.0003466
                     68,                0.76652,                 4.5298,                0.44133,                0.86738,                 1.1104,                0.83616,                0.76476,                0.88161,                0.73271,                0.64618,                0.55901,                 0.5331,                0.14008,                0.70252,                 4.7459,                0.39397,                0.70909,                 1.0582,              0.0003367,              0.0003367,              0.0003367
                     69,                0.75502,                 4.5125,                0.44031,                0.82801,                 1.0948,                0.78908,                0.81363,                 0.8753,                0.72014,                0.65621,                0.53819,                0.52263,                 0.1345,                0.70751,                 4.8123,                0.39283,                0.71518,                 1.0616,              0.0003268,              0.0003268,              0.0003268
                     70,                0.76174,                 4.5783,                 0.4424,                0.84093,                 1.1029,                0.78607,                0.83523,                0.87887,                0.72982,                0.63431,                0.58336,                 0.5511,                0.14398,                0.70205,                 4.7075,                0.39595,                0.71154,                 1.0604,              0.0003169,              0.0003169,              0.0003169
                     71,                0.75978,                 4.5099,                0.44122,                0.84072,                 1.1044,                0.83439,                 0.7625,                0.87385,                0.72015,                0.63843,                0.54768,                0.50674,                0.13361,                0.70619,                 4.7674,                0.39594,                0.70922,                 1.0574,               0.000307,               0.000307,               0.000307
                     72,                0.75733,                 4.4644,                0.43899,                0.82696,                 1.0946,                0.79606,                0.78683,                0.86376,                0.71732,                0.60533,                0.59669,                0.53319,                0.13914,                0.69358,                 4.7455,                 0.3986,                0.74425,                  1.046,              0.0002971,              0.0002971,              0.0002971
                     73,                0.75127,                   4.43,                0.43722,                0.81445,                  1.098,                0.83741,                0.78109,                0.87831,                0.72888,                0.64066,                0.59044,                0.54214,                0.14296,                0.69149,                  4.671,                0.39432,                0.71292,                 1.0502,              0.0002872,              0.0002872,              0.0002872
                     74,                0.74782,                 4.4569,                0.44278,                0.80971,                 1.0991,                0.82201,                0.82074,                0.88111,                0.74072,                0.65108,                0.61832,                0.56322,                0.14367,                0.67729,                 4.6542,                0.39293,                0.69169,                 1.0397,              0.0002773,              0.0002773,              0.0002773
                     75,                0.74473,                 4.4062,                0.43412,                0.79593,                 1.0934,                0.82583,                0.80893,                0.88992,                0.74077,                0.67602,                0.60403,                0.56148,                0.15013,                0.69283,                 4.6599,                0.38985,                0.69397,                 1.0549,              0.0002674,              0.0002674,              0.0002674
                     76,                0.74584,                 4.4419,                0.44166,                0.80149,                  1.091,                0.82732,                0.81588,                0.87337,                0.72514,                0.62831,                0.58732,                0.52629,                0.13848,                0.69297,                 4.7226,                0.39554,                0.70751,                 1.0546,              0.0002575,              0.0002575,              0.0002575
