                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1273,                 5.0675,                0.39872,                 1.0971,                 1.3491,                0.69878,                0.74281,                0.74689,                0.50254,                0.31107,                0.34706,                 0.1809,                0.03549,                 1.1704,                 5.4727,                0.18701,                 1.0513,                 1.5299,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.1352,                  5.068,                0.40567,                 1.0917,                  1.367,                0.67773,                0.71832,                0.71653,                 0.4824,                0.34069,                0.35174,                0.20114,                0.04068,                 1.1885,                 5.5231,                0.19249,                 1.1063,                 1.5417,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.1424,                 5.0206,                0.40161,                 1.1219,                 1.3803,                0.71237,                0.69308,                0.74151,                0.49481,                0.33259,                0.31904,                0.18542,                0.03349,                 1.2085,                 5.4502,                0.18069,                 1.0456,                 1.5474,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1174,                 4.9592,                0.39824,                 1.0605,                 1.3445,                 0.7495,                0.67088,                0.75172,                0.50139,                0.39603,                0.37242,                0.24134,                0.04151,                 1.1838,                 5.4484,                0.18362,                 1.0182,                 1.5366,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.1262,                 4.9684,                0.39834,                 1.0688,                 1.3509,                0.68402,                0.81459,                 0.7873,                0.52615,                0.34741,                0.41454,                0.24686,                0.04208,                 1.1691,                  5.254,                0.17238,                0.97364,                  1.518,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.1091,                 4.9493,                0.39689,                 1.0295,                 1.3446,                0.68034,                0.76729,                0.76387,                0.51332,                 0.4467,                0.36458,                0.25647,                0.04918,                 1.1624,                 5.3605,                 0.1815,                 1.0685,                 1.5156,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1324,                  4.857,                0.39908,                 1.0782,                 1.3536,                0.65773,                0.71895,                0.71539,                0.47067,                0.29364,                0.38674,                0.21485,                0.04244,                  1.195,                 5.4693,                0.18191,                 1.1139,                 1.5509,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.1089,                 4.8306,                0.38971,                 1.0467,                 1.3549,                0.74251,                0.72778,                0.77849,                0.52098,                0.39747,                0.34999,                0.25519,                0.04862,                 1.1891,                 5.3674,                0.17724,                0.95484,                 1.5426,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1001,                 4.9161,                0.40069,                 1.0338,                 1.3522,                0.75272,                0.70752,                0.75086,                0.50734,                0.40216,                0.39125,                0.25741,                0.05525,                 1.1705,                  5.373,                0.17843,                0.99781,                 1.5235,               0.000406,               0.000406,               0.000406
                     62,                 1.1017,                 4.8325,                0.39354,                 1.0447,                 1.3388,                0.74626,                0.74177,                0.75328,                0.50321,                  0.398,                0.42059,                0.26466,                0.04993,                 1.1826,                 5.3951,                0.17935,                 1.0272,                 1.5254,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.0996,                  4.865,                0.39458,                 1.0219,                 1.3358,                0.68554,                0.75836,                0.74687,                0.49395,                 0.4601,                0.40125,                0.27839,                0.05763,                 1.1907,                 5.2968,                0.17655,                 1.0122,                 1.5313,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.0928,                 4.7812,                0.39297,                 1.0522,                 1.3428,                0.71589,                0.76004,                0.75166,                0.49432,                0.36932,                 0.4199,                0.25775,                0.04732,                 1.1914,                  5.379,                0.18435,                 1.0087,                 1.5383,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0807,                 4.8128,                0.39403,                0.99304,                 1.3259,                0.71476,                0.75268,                 0.7426,                0.48842,                0.39192,                0.40527,                0.26208,                0.05167,                 1.1932,                 5.4282,                0.18007,                 1.0434,                 1.5391,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.0878,                 4.7975,                0.39279,                 1.0116,                 1.3296,                0.67802,                0.74426,                0.74068,                0.49844,                0.37892,                0.36078,                0.22907,                0.04536,                 1.1722,                 5.3569,                0.18253,                 1.0245,                 1.5225,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0825,                 4.7889,                0.39243,                 0.9957,                 1.3278,                0.73402,                0.70059,                0.75092,                0.50369,                0.38192,                0.37963,                0.24684,                 0.0506,                 1.1897,                 5.4687,                0.17525,                 1.0556,                 1.5458,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.0884,                  4.742,                0.39264,                 0.9868,                 1.3259,                0.63161,                0.79794,                0.73817,                0.50158,                0.39107,                0.38428,                 0.2596,                0.05492,                 1.1666,                 5.3549,                0.18465,                 1.0153,                 1.5206,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.0711,                 4.6871,                0.39602,                0.96454,                 1.3154,                0.71291,                0.74969,                0.76665,                0.53058,                0.40117,                0.44328,                0.27748,                0.06148,                 1.1592,                 5.2233,                0.18634,                0.99509,                 1.5086,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.0511,                 4.6574,                0.38888,                0.96473,                  1.309,                0.75842,                0.71017,                0.78364,                0.52428,                0.42899,                0.42037,                0.29742,                 0.0626,                  1.181,                  5.153,                0.18598,                0.98695,                 1.5371,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.0602,                 4.7059,                0.38394,                0.96841,                 1.3182,                0.68351,                0.76337,                0.78143,                0.53348,                0.42938,                0.40893,                0.29092,                0.05905,                 1.1534,                 5.2386,                0.18673,                0.94869,                 1.5006,               0.000307,               0.000307,               0.000307
                     72,                 1.0497,                 4.5747,                0.38944,                0.96357,                 1.3163,                0.71944,                0.78115,                0.79241,                0.53627,                0.38807,                0.44005,                0.28189,                0.05922,                 1.1727,                 5.1962,                0.18233,                0.97444,                 1.5191,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0629,                 4.6521,                0.39196,                0.97367,                 1.3235,                0.67536,                0.78166,                0.76412,                0.51331,                0.39065,                0.39888,                0.26583,                0.05772,                 1.1839,                 5.3399,                  0.185,                 1.0065,                 1.5208,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0634,                 4.5818,                0.38496,                0.97106,                 1.3149,                0.73441,                0.73746,                0.76945,                0.51305,                0.44231,                0.44737,                 0.3035,                0.06291,                 1.1927,                 5.2642,                0.18185,                 1.0119,                 1.5419,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0231,                 4.5404,                0.39387,                0.92278,                  1.291,                0.74185,                0.75322,                0.78597,                0.52239,                0.39199,                 0.4371,                 0.2856,                0.06421,                 1.1842,                 5.2274,                0.18071,                0.98555,                 1.5244,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0561,                 4.6219,                0.38519,                0.96007,                 1.3112,                0.73575,                 0.7858,                0.79514,                0.54332,                0.45912,                0.49952,                0.35197,                0.07495,                 1.1692,                 5.1106,                 0.1796,                0.90994,                 1.5144,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.0405,                 4.6265,                0.39058,                0.95043,                 1.3043,                0.73978,                0.74421,                0.76165,                0.51272,                0.42161,                0.45106,                0.29882,                0.06493,                 1.1712,                 5.2576,                0.18256,                0.97713,                 1.5209,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.0464,                  4.574,                0.39414,                0.94642,                 1.3111,                0.70257,                0.76573,                0.77985,                0.52993,                 0.4352,                0.45627,                0.31702,                  0.068,                 1.1703,                 5.1795,                0.18684,                0.93182,                 1.5172,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.0206,                 4.5091,                0.38284,                0.88979,                 1.2864,                0.71018,                0.83456,                0.79517,                0.52945,                0.48851,                0.47867,                0.36564,                0.07333,                 1.1691,                 5.0946,                0.18592,                0.92362,                 1.5278,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.0429,                 4.5498,                0.39153,                0.91394,                 1.3055,                0.72577,                 0.7494,                0.76298,                0.50895,                0.44961,                0.45613,                0.32583,                 0.0741,                 1.1698,                 5.1896,                 0.1811,                 1.0148,                 1.5155,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.0381,                 4.5695,                0.38405,                0.92263,                 1.3058,                0.75428,                0.72441,                0.77584,                0.52626,                0.44509,                0.46452,                0.33838,                0.07497,                 1.1665,                 5.1705,                0.18027,                 1.0331,                 1.5076,               0.000208,               0.000208,               0.000208
                     82,                 1.0295,                 4.5103,                0.38848,                0.91049,                 1.3017,                 0.7495,                0.78033,                0.81375,                 0.5389,                0.46076,                0.48953,                0.36459,                0.07831,                 1.1787,                 5.1369,                0.18116,                0.92704,                 1.5317,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.0362,                 4.3591,                0.38524,                0.94648,                 1.3029,                0.75874,                0.76039,                0.79485,                0.53434,                0.48128,                0.48919,                0.37491,                0.07471,                 1.1694,                 5.1446,                0.17809,                0.95492,                  1.518,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.0123,                 4.4195,                0.38257,                0.90188,                 1.2816,                0.77497,                0.79969,                0.82631,                0.55528,                0.47115,                0.49905,                0.36317,                0.07793,                 1.1628,                 4.9877,                0.17738,                0.88475,                 1.5078,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.0237,                 4.4734,                0.37265,                0.88873,                 1.3019,                0.70542,                0.81019,                0.79855,                0.53988,                0.50451,                0.47821,                0.36401,                0.08005,                 1.1645,                   5.04,                0.18437,                0.94394,                 1.5131,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.0138,                 4.4507,                0.38345,                0.89339,                 1.2755,                0.73061,                0.77645,                0.77744,                0.52054,                0.46041,                0.50205,                0.35438,                0.07398,                  1.165,                  5.149,                0.18426,                0.99622,                 1.5111,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.0016,                 4.4158,                0.37987,                0.90711,                 1.2767,                0.74758,                0.74906,                0.78034,                0.51973,                0.47554,                0.49279,                0.35962,                0.07902,                 1.1616,                 5.1309,                0.18127,                0.98724,                 1.5097,              0.0001486,              0.0001486,              0.0001486
                     88,                0.99312,                 4.3606,                0.38562,                0.88226,                 1.2695,                0.73916,                0.78417,                0.80671,                0.54241,                0.46528,                0.51108,                0.36512,                0.08041,                 1.1564,                 5.1203,                0.17829,                0.91987,                 1.5044,              0.0001387,              0.0001387,              0.0001387
