epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,17260.2,0.7202,4.37372,0.43938,0.7681,1.07708,0.81967,0.81731,0.8791,0.73842,0.65798,0.58541,0.55157,0.14132,0.66507,4.62282,0.40136,0.67453,1.01922,0.0001585,0.0001585,0.0001585
87,17460.5,0.72401,4.33141,0.43928,0.77295,1.0774,0.80467,0.84162,0.88566,0.74673,0.59752,0.60047,0.54861,0.1425,0.65961,4.64161,0.40159,0.67777,1.02239,0.0001486,0.0001486,0.0001486
88,17660.9,0.713,4.35213,0.44097,0.7753,1.07642,0.7892,0.84383,0.88375,0.74565,0.63205,0.58542,0.54767,0.14544,0.65686,4.63744,0.40275,0.65892,1.01882,0.0001387,0.0001387,0.0001387
89,17861.5,0.71187,4.30728,0.43902,0.75797,1.07068,0.82743,0.8144,0.88362,0.74316,0.6086,0.60167,0.53745,0.14168,0.66643,4.57385,0.40188,0.66496,1.02973,0.0001288,0.0001288,0.0001288
90,18062,0.70331,4.3366,0.44254,0.74166,1.06896,0.82928,0.8025,0.89092,0.74484,0.63147,0.60079,0.55413,0.14486,0.66271,4.56836,0.40027,0.64971,1.02729,0.0001189,0.0001189,0.0001189
91,18262.9,0.55171,4.09074,0.39118,0.46667,0.98272,0.82727,0.82434,0.87946,0.74066,0.65301,0.61947,0.55612,0.14581,0.6726,4.54101,0.39525,0.65458,1.03692,0.000109,0.000109,0.000109
92,18462.6,0.54019,4.08088,0.3857,0.44934,0.9734,0.83691,0.79874,0.87874,0.74069,0.72683,0.56721,0.57926,0.14582,0.66902,4.53572,0.39379,0.67667,1.02429,9.91e-05,9.91e-05,9.91e-05
93,18662.3,0.53417,4.04443,0.38741,0.42877,0.96933,0.79296,0.85058,0.87977,0.74436,0.613,0.60486,0.54948,0.14249,0.66114,4.56021,0.39186,0.6724,1.02183,8.92e-05,8.92e-05,8.92e-05
94,18862,0.5315,4.01682,0.38608,0.42981,0.96404,0.78906,0.83736,0.88009,0.74483,0.68365,0.58231,0.56606,0.14681,0.64565,4.55895,0.39124,0.67312,1.01029,7.93e-05,7.93e-05,7.93e-05
95,19061.7,0.52364,3.98507,0.38575,0.42076,0.96782,0.8177,0.82781,0.883,0.74703,0.63764,0.59484,0.55535,0.14975,0.65497,4.52942,0.39187,0.64993,1.02164,6.94e-05,6.94e-05,6.94e-05
96,19261.7,0.52128,3.94974,0.38502,0.40769,0.96217,0.83772,0.80284,0.88622,0.74828,0.67724,0.61008,0.58384,0.15245,0.65216,4.4989,0.38981,0.64854,1.0191,5.95e-05,5.95e-05,5.95e-05
97,19461.4,0.51229,3.94561,0.38166,0.41052,0.96245,0.81657,0.82534,0.88924,0.7509,0.67317,0.60367,0.58112,0.15679,0.64679,4.54157,0.39213,0.65273,1.01608,4.96e-05,4.96e-05,4.96e-05
98,19661.3,0.51702,3.92359,0.38178,0.39776,0.96365,0.8101,0.83131,0.88801,0.7507,0.7017,0.60003,0.60458,0.15535,0.64847,4.52003,0.3906,0.65805,1.01594,3.97e-05,3.97e-05,3.97e-05
99,19861.1,0.51613,3.92436,0.3829,0.39364,0.96488,0.81032,0.82179,0.88843,0.75433,0.6915,0.58895,0.58345,0.15479,0.64624,4.5526,0.39048,0.66143,1.01449,2.98e-05,2.98e-05,2.98e-05
100,20061,0.50646,3.89193,0.384,0.38884,0.95248,0.80618,0.83707,0.89084,0.75728,0.64883,0.63656,0.59351,0.15371,0.65067,4.50871,0.38986,0.64605,1.01717,1.99e-05,1.99e-05,1.99e-05
