                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.60725,                0.47359,                0.97732,                 0.9454,                0.88614,                0.91497,                0.79845,                0.61331,                0.44196,                 0.9951,               0.000203,               0.000203,               0.000203
                     62,                 0.5928,                0.46462,                 0.9731,                0.93368,                 0.8847,                0.91698,                0.79491,                0.60794,                0.42975,                0.99764,             0.00019805,             0.00019805,             0.00019805
                     63,                0.58637,                0.45852,                0.96544,                0.92284,                0.89238,                0.91691,                0.80023,                0.60264,                0.43506,                0.99269,              0.0001931,              0.0001931,              0.0001931
                     64,                 0.5907,                0.45404,                0.96579,                0.91304,                0.89293,                0.91049,                0.79461,                0.60628,                0.44392,                0.99423,             0.00018815,             0.00018815,             0.00018815
                     65,                0.59529,                0.46132,                0.97873,                0.92363,                0.88414,                0.91457,                 0.7929,                0.60758,                0.43852,                0.99871,              0.0001832,              0.0001832,              0.0001832
                     66,                 0.5816,                0.45285,                0.96661,                0.92947,                0.88768,                0.91203,                0.79473,                0.61866,                0.44622,                 1.0019,             0.00017825,             0.00017825,             0.00017825
                     67,                0.58047,                0.45508,                  0.967,                0.92257,                0.88817,                0.91347,                0.80107,                0.59866,                0.44444,                0.99627,              0.0001733,              0.0001733,              0.0001733
                     68,                0.57603,                 0.4441,                0.96647,                0.93171,                0.88119,                0.91788,                0.80614,                0.59247,                0.43853,                0.98963,             0.00016835,             0.00016835,             0.00016835
                     69,                0.58164,                  0.447,                0.96405,                0.92481,                0.89038,                0.91663,                0.80615,                0.60134,                0.43729,                0.99661,              0.0001634,              0.0001634,              0.0001634
                     70,                0.57152,                0.43995,                0.96054,                 0.9326,                0.88088,                0.91871,                0.80311,                0.59539,                0.44557,                0.98822,             0.00015845,             0.00015845,             0.00015845
                     71,                0.58167,                0.44064,                0.96108,                0.93534,                0.88556,                0.91833,                0.80916,                0.59704,                0.42669,                0.98499,              0.0001535,              0.0001535,              0.0001535
                     72,                0.56544,                0.43849,                0.96102,                 0.9415,                0.87613,                0.91169,                0.80097,                0.60312,                0.44745,                 1.0029,             0.00014855,             0.00014855,             0.00014855
                     73,                0.56943,                0.43933,                0.96443,                0.94042,                0.89046,                0.91854,                0.80443,                0.59851,                0.43465,                 0.9998,              0.0001436,              0.0001436,              0.0001436
                     74,                0.56973,                0.43405,                0.95861,                0.94018,                0.88316,                0.91942,                0.80935,                0.59087,                0.43051,                 0.9963,             0.00013865,             0.00013865,             0.00013865
                     75,                0.56274,                0.42717,                0.95687,                0.94441,                0.89228,                0.92272,                 0.8097,                0.59054,                0.42443,                0.98984,              0.0001337,              0.0001337,              0.0001337
                     76,                0.56538,                0.43591,                0.96053,                0.95064,                0.89094,                  0.921,                0.80841,                0.58913,                0.43256,                0.98622,             0.00012875,             0.00012875,             0.00012875
                     77,                0.56421,                0.42988,                0.95653,                0.93303,                0.89138,                0.91505,                0.80511,                0.59445,                0.43469,                 1.0004,              0.0001238,              0.0001238,              0.0001238
                     78,                0.57101,                0.42776,                 0.9621,                0.92262,                0.89136,                0.91474,                0.80567,                0.59756,                0.43162,                0.99292,             0.00011885,             0.00011885,             0.00011885
                     79,                0.56084,                0.42787,                 0.9576,                0.93591,                0.88641,                0.91611,                0.80714,                0.58424,                0.42551,                0.98855,              0.0001139,              0.0001139,              0.0001139
                     80,                 0.5671,                 0.4286,                0.96007,                0.92059,                 0.8917,                0.91897,                0.80842,                0.58517,                0.42499,                0.99625,             0.00010895,             0.00010895,             0.00010895
                     81,                 0.5542,                0.41924,                0.95496,                0.93808,                0.88446,                0.92312,                 0.8117,                0.59235,                0.41852,                0.98651,               0.000104,               0.000104,               0.000104
                     82,                0.55033,                0.40913,                 0.9525,                0.92833,                0.88534,                0.91973,                0.80868,                0.59164,                0.42722,                0.99382,              9.905e-05,              9.905e-05,              9.905e-05
                     83,                0.55083,                0.41828,                  0.955,                0.93619,                0.88369,                0.92069,                0.80891,                0.59679,                0.42954,                  1.003,               9.41e-05,               9.41e-05,               9.41e-05
                     84,                 0.5489,                0.41305,                 0.9482,                0.93844,                0.88727,                0.91808,                0.81212,                0.58732,                 0.4129,                0.99441,              8.915e-05,              8.915e-05,              8.915e-05
                     85,                0.54678,                0.41101,                0.94989,                0.94687,                0.88766,                0.92072,                0.80981,                0.59427,                0.41624,                0.99713,               8.42e-05,               8.42e-05,               8.42e-05
                     86,                0.54103,                0.40614,                0.95023,                0.94413,                0.88545,                0.91977,                0.81065,                  0.588,                0.41993,                0.99367,              7.925e-05,              7.925e-05,              7.925e-05
                     87,                0.54299,                0.40778,                0.95197,                0.93562,                0.88879,                0.92102,                0.80992,                0.58828,                0.40991,                0.99631,               7.43e-05,               7.43e-05,               7.43e-05
                     88,                0.54282,                0.40403,                0.94937,                0.93353,                0.89052,                0.91946,                0.81387,                0.58373,                0.41706,                0.99301,              6.935e-05,              6.935e-05,              6.935e-05
                     89,                0.54249,                0.40606,                0.94602,                0.94923,                0.88363,                0.91896,                0.80934,                0.58512,                0.41637,                0.99353,               6.44e-05,               6.44e-05,               6.44e-05
                     90,                0.53967,                0.40043,                0.94685,                0.94637,                0.88648,                 0.9196,                0.81805,                0.57885,                0.41453,                0.99213,              5.945e-05,              5.945e-05,              5.945e-05
                     91,                0.48092,                0.34229,                0.90316,                0.93756,                0.88651,                0.91802,                0.81391,                0.60308,                0.42691,                 1.0093,               5.45e-05,               5.45e-05,               5.45e-05
                     92,                0.46257,                0.32802,                0.89387,                0.93341,                0.88633,                0.91486,                0.80629,                0.59673,                0.42412,                 1.0051,              4.955e-05,              4.955e-05,              4.955e-05
                     93,                0.45985,                 0.3242,                0.89116,                0.93234,                 0.8935,                 0.9179,                0.80835,                0.59835,                0.42218,                 1.0061,               4.46e-05,               4.46e-05,               4.46e-05
                     94,                0.45559,                0.31978,                0.89141,                0.93386,                0.88971,                0.91431,                 0.8086,                0.59654,                  0.418,                 1.0021,              3.965e-05,              3.965e-05,              3.965e-05
                     95,                0.45213,                0.31622,                0.88815,                 0.9381,                 0.8911,                0.91656,                0.81143,                0.58909,                 0.4157,                 1.0029,               3.47e-05,               3.47e-05,               3.47e-05
                     96,                0.45125,                  0.316,                0.89529,                 0.9423,                0.88761,                0.92356,                0.81582,                0.58714,                 0.4091,                0.99828,              2.975e-05,              2.975e-05,              2.975e-05
                     97,                0.44667,                 0.3128,                0.88726,                0.93646,                0.88444,                0.91885,                 0.8116,                0.58807,                0.41208,                0.99972,               2.48e-05,               2.48e-05,               2.48e-05
                     98,                0.44766,                0.31201,                0.89225,                0.94281,                 0.8814,                0.91905,                 0.8116,                0.58377,                0.41168,                 0.9963,              1.985e-05,              1.985e-05,              1.985e-05
                     99,                0.44229,                0.30683,                0.89014,                0.94177,                0.88268,                 0.9197,                0.81323,                0.58562,                0.41239,                0.99796,               1.49e-05,               1.49e-05,               1.49e-05
                    100,                0.44061,                0.30764,                0.88315,                0.94036,                0.88723,                0.91904,                 0.8136,                0.58373,                0.41374,                0.99463,               9.95e-06,               9.95e-06,               9.95e-06
